orderId,productid,customerid,orderdate,returnstatusid,late,sales,orderquantity,unitprice,profit,shippingcost
3,85,0,2010-10-13,0,Late,261.54,6,38.94,-213.25,35.0
13633,85,540,2012-04-03,0,NotLate,1538.17,39,38.94,-1119.64,35.0
52391,799,540,2009-12-12,0,Late,1072.36,36,29.14,440.48,4.86
54339,966,540,2012-05-02,1,Late,2209.5155,41,65.99,458.62,5.31
54339,446,540,2012-05-02,1,Late,3005.74,48,59.98,1053.21,3.99
58851,811,540,2010-06-07,0,Late,2027.55,14,140.99,537.4,13.99
52645,873,540,2012-03-07,0,Late,64.34,11,5.85,-8.37,2.27
31552,971,540,2012-11-11,0,NotLate,731.71,24,29.89,175.82,1.99
17634,1255,540,2012-07-21,0,NotLate,489.07,5,89.99,-197.88,42.0
34788,1174,540,2009-11-09,0,Late,30.47,4,5.98,-10.7,5.15
2022,1120,540,2012-03-14,0,NotLate,186.44,45,3.95,-157.18,5.13
52391,594,540,2009-12-12,0,Late,857.84,39,20.89,-309.43,11.52
31552,1145,540,2012-11-11,0,Late,378.08,17,22.24,70.48,1.99
13633,19,540,2012-04-03,0,NotLate,2703.37,18,150.98,-231.6,57.2
58851,1043,540,2010-06-07,0,Late,23.93,3,8.34,-6.39,0.96
22181,84,540,2011-10-07,1,Late,258.13,41,6.08,84.1,1.82
52645,857,540,2012-03-07,0,Late,693.02,10,70.97,97.36,3.5
549,85,1030,2012-07-12,0,NotLate,1150.88,30,38.94,-911.56,35.0
17186,90,1030,2009-01-26,0,Late,4321.63,49,90.98,-1549.14,56.2
17186,1085,1030,2009-01-26,0,Late,67.14,11,5.98,-29.98,5.35
549,938,1030,2012-07-12,0,NotLate,70.24,13,4.98,-59.75,7.44
549,588,1030,2012-07-12,0,NotLate,40.75,5,6.48,-27.57,8.74
29730,1024,1030,2010-06-16,0,Late,3072.86,21,150.98,-364.87,39.25
293,887,1,2012-10-01,0,NotLate,10123.02,49,208.16,457.81,68.02
293,813,1,2012-10-01,0,Late,244.57,27,8.69,46.71,2.99
19074,887,207,2012-06-25,0,Late,3816.59,17,208.16,191.47,68.02
16230,571,207,2010-02-27,0,Late,13.3,2,7.31,-7.86,0.49
16230,711,207,2010-02-27,0,Late,687.52,15,48.91,223.76,5.81
16230,447,207,2010-02-27,0,Late,4538.66,40,111.03,506.86,8.64
21856,386,207,2012-04-05,0,Late,168.55,47,3.69,71.77,0.5
10048,786,207,2009-05-15,0,Late,78.57,21,3.68,-20.65,1.32
10144,983,207,2011-01-02,0,Late,5403.75,16,355.98,103.83,58.92
24070,700,207,2011-03-15,0,NotLate,431.29,3,140.81,-164.59,24.49
10144,817,207,2011-01-02,0,NotLate,6408.3,24,280.98,539.54,35.67
24070,263,207,2011-03-15,0,NotLate,170.42,36,4.91,-98.31,4.97
21856,824,207,2012-04-05,0,NotLate,77.03,26,3.14,-47.75,1.92
10144,1131,207,2011-01-02,0,Late,192.49,1,160.98,-98.3,30.0
16230,524,207,2010-02-27,0,Late,3379.01,27,130.98,-801.09,54.74
10048,1118,207,2009-05-15,0,Late,3197.45,46,73.98,97.16,4.0
10432,107,207,2012-01-05,0,Late,2323.36,13,179.99,220.39,19.99
24070,430,207,2011-03-15,0,NotLate,294.26,48,5.58,88.8,0.7
33600,986,207,2010-10-06,0,Late,187.28,42,4.28,-94.36,4.79
21634,887,1016,2012-10-28,0,NotLate,1611.73,8,208.16,-314.61,68.02
21634,1209,1016,2012-10-28,0,Late,1946.55,1,1938.02,-4017.62,13.99
36130,1071,1016,2012-09-13,0,NotLate,394.8,23,17.98,-113.8,4.0
27654,274,1016,2010-09-24,0,Late,94.83,12,7.64,29.87,1.39
30208,88,1016,2012-07-16,0,NotLate,1752.0965,46,45.99,356.35,4.99
59906,752,1016,2010-05-20,0,Late,284.92,32,9.11,81.29,2.15
30567,887,1376,2009-01-14,0,NotLate,2690.84,14,208.16,-368.02,68.02
18500,616,1376,2012-02-11,0,Late,2536.31,30,80.98,-643.46,35.0
18500,720,1376,2012-02-11,0,NotLate,2507.79,44,58.14,-779.81,36.61
12067,443,1376,2010-02-04,1,NotLate,271.06,45,5.74,-76.6,5.01
12067,741,1376,2010-02-04,1,NotLate,75.26,9,7.64,-17.24,5.83
18500,604,1376,2012-02-11,0,NotLate,1052.68,30,32.98,-19.27,5.5
30567,1246,1376,2009-01-14,0,NotLate,62.6,14,4.28,7.32,0.94
12067,432,1376,2010-02-04,1,NotLate,1211.72,12,99.23,587.84,8.99
12067,258,1376,2010-02-04,1,NotLate,407.116,7,65.99,-289.81,19.99
30567,318,1376,2009-01-14,0,Late,38.71,3,9.48,23.0,7.29
10978,529,1376,2009-04-01,0,NotLate,566.53,9,60.98,-209.6,30.0
44962,1145,1376,2009-12-28,1,Late,575.74,27,22.24,152.6,1.99
30567,796,1376,2009-01-14,0,NotLate,733.55,8,90.48,103.13,19.99
805,1214,1376,2011-07-04,0,Late,197.56,39,4.97,-119.86,5.71
24352,992,1376,2010-05-10,0,NotLate,103.48,32,3.14,20.53,1.14
12067,257,1376,2010-02-04,1,NotLate,58.84,6,9.48,4.29,3.72
37440,887,1749,2010-06-23,0,NotLate,8407.08,39,208.16,629.4,68.02
35652,885,1749,2010-09-21,0,Late,2251.56,21,100.98,226.63,26.22
5284,813,22,2011-07-08,0,Late,59.38,7,8.69,-3.05,2.99
4676,1110,22,2011-08-31,0,NotLate,4253.009,30,155.99,1115.69,8.99
1702,1108,22,2011-05-06,0,NotLate,67.24,23,2.84,4.9,0.93
4676,1155,22,2011-08-31,0,NotLate,1210.0515,11,125.99,-104.25,7.69
4676,468,22,2011-08-31,0,Late,187.83,50,3.75,85.96,0.5
4676,580,22,2011-08-31,0,Late,49.59,3,12.28,-8.38,6.47
42500,813,198,2010-02-05,0,Late,21.03,2,8.69,-10.48,2.99
56224,793,198,2012-10-25,0,NotLate,3205.24,32,95.95,-1115.99,74.35
17826,783,198,2012-06-30,0,NotLate,78.93,18,3.89,-88.61,7.01
50210,468,198,2010-07-19,0,Late,178.51,47,3.75,82.3,0.5
56293,702,198,2010-01-05,0,NotLate,702.79,34,19.99,-44.81,11.17
53190,1256,198,2009-09-24,0,Late,268.18,10,28.53,74.64,1.49
56224,924,198,2012-10-25,0,NotLate,902.024,9,124.49,-153.25,51.94
56224,820,198,2012-10-25,0,Late,144.06,35,3.81,-117.27,5.44
53190,859,198,2009-09-24,0,NotLate,477.054,9,65.99,-170.53,3.99
36930,760,198,2011-09-28,0,Late,2632.4755,34,85.99,1325.82,3.3
42500,637,198,2010-02-05,0,Late,1836.06,39,48.92,437.07,4.5
50210,850,198,2010-07-19,0,Late,31.32,15,1.86,-30.26,2.58
56224,469,198,2012-10-25,0,NotLate,339.27,46,7.89,48.59,2.82
56293,199,198,2010-01-05,0,NotLate,712.64,44,16.91,-27.72,6.25
31495,813,481,2010-08-04,0,Late,191.43,20,8.69,39.5,2.99
5601,270,481,2012-01-05,0,NotLate,120.53,10,12.22,49.26,2.85
31495,842,481,2010-08-04,0,Late,1234.85,34,34.76,212.2,8.22
16291,368,481,2011-04-08,0,NotLate,894.64,31,27.42,-27.79,19.46
57025,813,952,2012-06-26,0,Late,71.1,8,8.69,2.29,2.99
5543,1162,952,2010-09-24,0,Late,65.93,6,10.31,11.06,1.79
11683,1086,952,2012-02-07,0,NotLate,1650.411,28,65.99,335.08,5.99
5543,474,952,2010-09-24,0,Late,67.3,27,2.18,-115.38,5.0
5543,121,952,2010-09-24,0,Late,703.54,15,48.58,138.46,3.99
49762,919,952,2011-06-15,1,Late,99.13,35,2.94,23.74,0.81
34657,621,952,2010-05-05,0,Late,1396.75,46,30.98,-75.7,19.51
42565,813,1165,2010-09-22,0,Late,283.8,33,8.69,47.52,2.99
35137,693,1165,2010-07-17,1,Late,1041.78,47,23.99,283.79,6.71
35137,1029,1165,2010-07-17,1,Late,225.06,41,5.34,7.3,2.99
4070,617,1165,2011-06-11,0,NotLate,646.07,22,28.48,237.75,1.99
49541,242,1165,2009-01-16,0,NotLate,503.75,35,13.43,16.46,5.5
55200,117,1165,2010-08-28,0,Late,505.08,33,15.15,-56.91,10.13
55200,118,1165,2010-08-28,0,Late,649.2385,4,205.99,-830.72,2.79
610,923,1165,2011-08-01,0,Late,283.65,38,6.68,-29.21,5.41
44422,813,1239,2012-04-13,0,Late,313.83,36,8.69,56.78,2.99
44422,1000,1239,2012-04-13,0,Late,201.5945,11,20.99,32.31,0.99
44422,1181,1239,2012-04-13,0,Late,15.72,1,10.89,-6.1,4.5
12867,782,1239,2011-03-11,0,NotLate,127.49,6,19.98,-57.95,4.0
9954,1236,1239,2009-06-19,0,NotLate,10122.72,36,280.98,-381.16,57.0
9954,938,1239,2009-06-19,0,Late,203.6,39,4.98,-166.44,7.44
9954,193,1239,2009-06-19,0,Late,115.81,30,3.98,22.06,0.83
801,120,1239,2012-02-17,0,Late,59.85,20,2.74,-47.41,3.5
57506,425,1239,2009-02-13,0,NotLate,332.55,48,7.28,-66.87,5.47
42306,813,1575,2012-09-14,0,Late,36.46,4,8.69,-7.41,2.99
47461,813,1680,2010-04-25,0,NotLate,289.53,34,8.69,46.97,2.99
3907,826,1680,2012-08-18,0,NotLate,218.12,36,4.48,-1642.65,49.0
5317,989,1680,2009-09-08,0,Late,1469.48,10,140.98,-263.65,53.48
52675,698,1680,2011-10-10,0,Late,52.62,22,2.21,-4.64,1.12
47461,644,1680,2010-04-25,0,Late,322.8,45,7.08,53.15,2.35
5317,929,1680,2009-09-08,0,Late,4279.24,25,205.99,890.18,5.26
5317,1029,1680,2009-09-08,0,Late,212.57,38,5.34,9.49,2.99
3907,1238,1680,2012-08-18,0,Late,729.83,34,22.38,-135.1,15.1
2720,859,1680,2010-06-07,0,Late,2051.016,36,65.99,483.97,3.99
31204,778,1680,2010-08-21,0,Late,215.52,14,14.34,75.83,5.0
52675,651,1680,2011-10-10,0,Late,20.25,4,4.77,-22.13,2.39
3907,595,1680,2012-08-18,0,NotLate,1083.19,36,29.99,214.61,5.5
47461,643,1680,2010-04-25,0,NotLate,318.28,39,8.17,114.95,1.69
10148,605,1680,2009-03-25,0,NotLate,14357.85,27,500.98,3309.55,41.44
31204,696,1680,2010-08-21,0,NotLate,10.46,8,1.14,-0.89,0.7
5856,1117,1680,2009-11-05,0,Late,10307.01,42,230.98,3025.59,23.78
51297,813,1701,2012-11-11,0,Late,356.28,41,8.69,65.76,2.99
44486,1151,1701,2012-07-09,1,Late,198.1,36,5.78,-66.93,4.96
58722,1255,1701,2012-10-11,0,Late,4042.96,45,89.99,-699.72,42.0
51200,709,1701,2011-11-18,0,Late,1617.88,29,53.98,271.9,5.5
35139,813,1734,2010-01-18,0,NotLate,264.78,29,8.69,53.05,2.99
34976,793,1734,2012-11-24,0,Late,4475.0,45,95.95,-1523.77,74.35
55845,1258,1734,2011-07-21,0,Late,4203.88,29,150.98,-865.88,66.27
34976,794,1734,2012-11-24,0,NotLate,168.2,29,5.98,-64.53,5.46
43013,803,1734,2011-04-22,0,Late,2437.67,50,50.98,25.68,22.24
51269,813,1731,2012-01-12,0,NotLate,21.07,2,8.69,-10.43,2.99
38944,801,1731,2010-04-20,0,NotLate,24639.8,46,500.98,8614.79,26.0
28773,789,1731,2011-02-10,0,Late,2174.419,48,55.99,-211.7,5.0
22818,797,1731,2009-05-22,0,Late,6277.75,50,130.98,-592.43,30.0
38944,799,1731,2010-04-20,0,Late,921.3,32,29.14,353.16,4.86
36608,795,1731,2011-09-28,0,Late,825.8,40,21.98,183.48,2.87
39425,1086,1731,2012-08-16,0,Late,1267.4605,23,65.99,128.79,5.99
38944,798,1731,2010-04-20,0,NotLate,1873.349,17,125.99,194.21,8.08
22818,782,1731,2009-05-22,0,Late,360.24,19,19.98,-53.82,4.0
51269,814,1731,2012-01-12,0,NotLate,430.41,20,22.98,-1.55,7.58
6150,1063,1731,2012-10-01,0,NotLate,191.14,38,4.98,82.65,0.8
36608,796,1731,2011-09-28,0,Late,4273.95,49,90.48,1340.07,19.99
483,213,23,2011-07-10,0,Late,4965.7595,30,195.99,1198.97,3.99
5316,1028,23,2009-01-30,0,Late,1285.37,42,31.78,514.07,1.99
10310,213,186,2009-02-05,0,Late,926.585,6,195.99,-655.42,3.99
25248,711,186,2011-12-01,0,NotLate,1150.3,26,48.91,418.19,5.81
25248,1101,186,2011-12-01,0,Late,271.14,33,8.33,29.21,1.99
11776,679,186,2012-02-24,0,NotLate,57.24,40,1.26,-14.1,0.7
3362,1039,186,2011-07-28,0,Late,1699.52,40,40.98,734.75,1.99
3362,451,186,2011-07-28,0,Late,760.85,50,15.14,-109.1,4.53
8227,651,186,2010-01-10,0,NotLate,162.25,32,4.77,-43.21,2.39
10310,768,186,2009-02-05,0,Late,139.86,48,2.88,9.59,1.01
38630,213,773,2010-04-17,0,NotLate,2175.218,13,195.99,44.55,3.99
34470,585,773,2012-02-01,0,NotLate,2966.13,31,100.98,-1456.31,57.38
44480,322,773,2010-05-12,0,Late,1321.55,25,54.96,448.24,10.75
47556,645,773,2010-07-25,0,Late,475.58,29,15.98,108.21,4.0
