productid,customerid,orderdate,sales,customer_name,product_name
0,16,30-5-2009,291.0,Consolidated Holdings,Mishi Kobe Niku
0,54,4-2-2009,4850.0,Hungry Owl All-Night Grocers,Mishi Kobe Niku
0,67,28-8-2008,1552.0,QUICK-Stop,Mishi Kobe Niku
0,69,10-2-2009,582.0,White Clover Markets,Mishi Kobe Niku
0,81,28-5-2008,1552.0,Wellington Importadora,Mishi Kobe Niku
1,5,3-7-2009,142.5,Wilman Kala,Sirop d'érable
1,6,17-3-2009,570.0,Let's Stop N Shop,Sirop d'érable
1,12,3-9-2009,114.0,Blauer See Delikatessen,Sirop d'érable
1,15,28-2-2009,285.0,Rancho grande,Sirop d'érable
1,25,8-8-2009,199.5,Wolski  Zajazd,Sirop d'érable
1,25,2-7-2009,427.5,Wolski  Zajazd,Sirop d'érable
1,28,14-4-2009,570.0,Vaffeljernet,Sirop d'érable
1,34,12-9-2008,570.0,Piccolo und mehr,Sirop d'érable
1,37,27-12-2008,570.0,Simons bistro,Sirop d'érable
1,39,6-3-2009,142.5,Mère Paillarde,Sirop d'érable
1,43,17-6-2008,2052.0,Save-a-lot Markets,Sirop d'érable
1,46,11-7-2009,855.0,Island Trading,Sirop d'érable
1,51,25-8-2009,171.0,Old World Delicatessen,Sirop d'érable
1,52,2-10-2008,285.0,Godos Cocina Típica,Sirop d'érable
1,53,27-8-2008,427.5,Die Wandernde Kuh,Sirop d'érable
1,56,27-8-2009,114.0,Comércio Mineiro,Sirop d'érable
1,67,24-5-2008,364.8,QUICK-Stop,Sirop d'érable
1,69,16-8-2008,712.5,White Clover Markets,Sirop d'érable
1,72,1-7-2008,570.0,Wartian Herkku,Sirop d'érable
1,74,17-6-2009,855.0,Folk och fä HB,Sirop d'érable
1,79,6-8-2009,1881.0,Ernst Handel,Sirop d'érable
1,79,14-11-2008,3420.0,Ernst Handel,Sirop d'érable
1,85,1-9-2009,285.0,Hanari Carnes,Sirop d'érable
1,86,12-5-2009,855.0,Victuailles en stock,Sirop d'érable
2,26,18-2-2009,306.0,Queen Cozinha,Chocolade
2,29,20-8-2008,191.25,Antonio Moreno Taquería,Chocolade
2,33,28-6-2008,153.0,Around the Horn,Chocolade
2,41,22-11-2008,76.5,Furia Bacalhau e Frutos do Mar,Chocolade
2,79,10-5-2008,714.0,Ernst Handel,Chocolade
2,86,12-5-2009,102.0,Victuailles en stock,Chocolade
3,8,26-6-2009,142.5,Maison Dewey,Røgede sild
3,18,1-4-2009,38.0,Franchi SpA,Røgede sild
3,21,22-7-2009,285.0,LINO-Delicateses,Røgede sild
3,21,25-12-2008,190.0,LINO-Delicateses,Røgede sild
3,28,10-7-2008,228.0,Vaffeljernet,Røgede sild
3,32,25-4-2008,114.0,Seven Seas Imports,Røgede sild
3,43,29-5-2009,342.0,Save-a-lot Markets,Røgede sild
3,43,26-2-2009,1045.0,Save-a-lot Markets,Røgede sild
3,45,15-8-2008,199.5,Pericles Comidas clásicas,Røgede sild
3,61,14-8-2009,190.0,Romero y tomillo,Røgede sild
3,67,1-10-2008,950.0,QUICK-Stop,Røgede sild
3,69,20-3-2009,380.0,White Clover Markets,Røgede sild
3,72,28-3-2009,380.0,Wartian Herkku,Røgede sild
3,79,21-4-2009,256.5,Ernst Handel,Røgede sild
4,21,11-3-2009,650.0,LINO-Delicateses,Valkoinen suklaa
4,26,24-12-2008,406.25,Queen Cozinha,Valkoinen suklaa
4,28,10-7-2008,325.0,Vaffeljernet,Valkoinen suklaa
4,33,8-7-2009,390.0,Around the Horn,Valkoinen suklaa
4,33,22-4-2008,195.0,Around the Horn,Valkoinen suklaa
4,35,18-3-2008,195.0,La maison d'Asie,Valkoinen suklaa
4,52,18-7-2009,146.25,Godos Cocina Típica,Valkoinen suklaa
4,54,5-6-2008,520.0,Hungry Owl All-Night Grocers,Valkoinen suklaa
4,79,9-9-2009,357.5,Ernst Handel,Valkoinen suklaa
4,82,31-3-2009,325.0,Richter Supermarkt,Valkoinen suklaa
5,5,11-2-2009,400.0,Wilman Kala,Northwoods Cranberry Sauce
5,8,31-7-2009,800.0,Maison Dewey,Northwoods Cranberry Sauce
5,17,21-2-2009,1600.0,Gourmet Lanchonetes,Northwoods Cranberry Sauce
5,22,30-7-2009,640.0,Bottom-Dollar Markets,Northwoods Cranberry Sauce
5,26,25-4-2009,1200.0,Queen Cozinha,Northwoods Cranberry Sauce
5,38,13-8-2009,1200.0,Princesa Isabel Vinhos,Northwoods Cranberry Sauce
